antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'Healthy life expectancy (HALE) at birth (years)_70.40-73.65', 'Total density per million population: Radiotherapy units_7.22-10.19'})",frozenset({'Life expectancy at birth (years)_81.77-84.46'}),0.3,0.5,0.3,1.0,2.0,0.15,inf,0.7142857142857143
"frozenset({'Healthy life expectancy (HALE) at birth (years)_70.40-73.65', 'Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%) | RESIDENCEAREATYPE_TOTL | HOUSEHOLDCOOKINGFUEL_FUEL_BIOMASS_0.00-4.49'})",frozenset({'Life expectancy at birth (years)_81.77-84.46'}),0.3,0.5,0.3,1.0,2.0,0.15,inf,0.7142857142857143
"frozenset({'Healthy life expectancy (HALE) at birth (years)_70.40-73.65', 'Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates_1.60-5.77'})",frozenset({'Life expectancy at birth (years)_81.77-84.46'}),0.26666666666666666,0.5,0.26666666666666666,1.0,2.0,0.13333333333333333,inf,0.6818181818181818
"frozenset({'Healthy life expectancy (HALE) at birth (years)_70.40-73.65', 'Current health expenditure (CHE) per capita in US$_5234.60-8623.42'})",frozenset({'Life expectancy at birth (years)_81.77-84.46'}),0.13333333333333333,0.5,0.13333333333333333,1.0,2.0,0.06666666666666667,inf,0.5769230769230769
"frozenset({'Healthy life expectancy (HALE) at birth (years)_70.40-73.65', 'Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%) | AGEGROUP_YEARS18-PLUS_57.78-73.76'})",frozenset({'Life expectancy at birth (years)_81.77-84.46'}),0.13333333333333333,0.5,0.13333333333333333,1.0,2.0,0.06666666666666667,inf,0.5769230769230769
"frozenset({'UHC Service Coverage sub-index on reproductive, maternal, newborn and child health_91.48-95.22', 'Healthy life expectancy (HALE) at birth (years)_70.40-73.65'})",frozenset({'Life expectancy at birth (years)_81.77-84.46'}),0.2,0.5,0.2,1.0,2.0,0.1,inf,0.6249999999999999
"frozenset({'Healthy life expectancy (HALE) at birth (years)_70.40-73.65', 'Out-of-pocket expenditure (OOP) per capita in US$_0.00-824.81'})",frozenset({'Life expectancy at birth (years)_81.77-84.46'}),0.2,0.5,0.2,1.0,2.0,0.1,inf,0.6249999999999999
"frozenset({'Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%)_8.07-10.35', 'Healthy life expectancy (HALE) at birth (years)_70.40-73.65'})",frozenset({'Life expectancy at birth (years)_81.77-84.46'}),0.13333333333333333,0.5,0.13333333333333333,1.0,2.0,0.06666666666666667,inf,0.5769230769230769
"frozenset({'Adolescent mortality rate (per 1 000 age specific cohort) | AGEGROUP_YEARS10-19.1_1.17-2.08', 'Life expectancy at age 60 (years)_24.52-26.63'})",frozenset({'Life expectancy at birth (years)_81.77-84.46'}),0.36666666666666664,0.5,0.36666666666666664,1.0,2.0,0.18333333333333332,inf,0.7894736842105263
"frozenset({'Adolescent mortality rate (per 1 000 age specific cohort) | AGEGROUP_YEARS15-19.1_0.86-1.60', 'Life expectancy at age 60 (years)_24.52-26.63'})",frozenset({'Life expectancy at birth (years)_81.77-84.46'}),0.36666666666666664,0.5,0.36666666666666664,1.0,2.0,0.18333333333333332,inf,0.7894736842105263
