antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'Proportion of population with primary reliance on clean fuels and technologies for cooking (%) | RESIDENCEAREATYPE_RUR_: 0.00-18.67', 'Healthy life expectancy (HALE) at birth (years)_: 50.77-56.91'})",frozenset({'Life expectancy at birth (years)_: 58.69-65.89'}),0.46551724137931033,0.5517241379310345,0.43103448275862066,0.9259259259259259,1.6782407407407407,0.17419738406658736,6.051724137931035,0.7561290322580643
"frozenset({'Proportion of population with primary reliance on polluting fuels and technologies for cooking (%) | RESIDENCEAREATYPE_RUR_: 81.33-100.00', 'Healthy life expectancy (HALE) at birth (years)_: 50.77-56.91'})",frozenset({'Life expectancy at birth (years)_: 58.69-65.89'}),0.46551724137931033,0.5517241379310345,0.43103448275862066,0.9259259259259259,1.6782407407407407,0.17419738406658736,6.051724137931035,0.7561290322580643
"frozenset({'Proportion of population with primary reliance on clean fuels and technologies for cooking (%) | RESIDENCEAREATYPE_RUR_: 0.00-18.67', 'Proportion of population with primary reliance on polluting fuels and technologies for cooking (%) | RESIDENCEAREATYPE_RUR_: 81.33-100.00', 'Healthy life expectancy (HALE) at birth (years)_: 50.77-56.91'})",frozenset({'Life expectancy at birth (years)_: 58.69-65.89'}),0.46551724137931033,0.5517241379310345,0.43103448275862066,0.9259259259259259,1.6782407407407407,0.17419738406658736,6.051724137931035,0.7561290322580643
"frozenset({'Proportion of population with primary reliance on clean fuels and technologies for cooking (%) | RESIDENCEAREATYPE_RUR_: 0.00-18.67', 'Out-of-pocket expenditure (OOP) per capita in US$_: 1.75-67.16', 'Healthy life expectancy (HALE) at birth (years)_: 50.77-56.91'})",frozenset({'Life expectancy at birth (years)_: 58.69-65.89'}),0.4482758620689655,0.5517241379310345,0.41379310344827586,0.923076923076923,1.673076923076923,0.16646848989298454,5.827586206896547,0.7291666666666666
"frozenset({'Proportion of population with primary reliance on polluting fuels and technologies for cooking (%) | RESIDENCEAREATYPE_RUR_: 81.33-100.00', 'Out-of-pocket expenditure (OOP) per capita in US$_: 1.75-67.16', 'Healthy life expectancy (HALE) at birth (years)_: 50.77-56.91'})",frozenset({'Life expectancy at birth (years)_: 58.69-65.89'}),0.4482758620689655,0.5517241379310345,0.41379310344827586,0.923076923076923,1.673076923076923,0.16646848989298454,5.827586206896547,0.7291666666666666
"frozenset({'Proportion of population with primary reliance on clean fuels and technologies for cooking (%) | RESIDENCEAREATYPE_RUR_: 0.00-18.67', 'Proportion of population with primary reliance on polluting fuels and technologies for cooking (%) | RESIDENCEAREATYPE_RUR_: 81.33-100.00', 'Out-of-pocket expenditure (OOP) per capita in US$_: 1.75-67.16', 'Healthy life expectancy (HALE) at birth (years)_: 50.77-56.91'})",frozenset({'Life expectancy at birth (years)_: 58.69-65.89'}),0.4482758620689655,0.5517241379310345,0.41379310344827586,0.923076923076923,1.673076923076923,0.16646848989298454,5.827586206896547,0.7291666666666666
frozenset({'Healthy life expectancy (HALE) at birth (years)_: 50.77-56.91'}),frozenset({'Life expectancy at birth (years)_: 58.69-65.89'}),0.5344827586206896,0.5517241379310345,0.4827586206896552,0.903225806451613,1.6370967741935485,0.18787158145065402,4.632183908045981,0.835978835978836
"frozenset({'Out-of-pocket expenditure (OOP) per capita in US$_: 1.75-67.16', 'Healthy life expectancy (HALE) at birth (years)_: 50.77-56.91'})",frozenset({'Life expectancy at birth (years)_: 58.69-65.89'}),0.5172413793103449,0.5517241379310345,0.46551724137931033,0.8999999999999999,1.6312499999999999,0.18014268727705113,4.482758620689651,0.8015873015873017
"frozenset({'Number of deaths | AGEGROUP_YEARS0-4 | CHILDCAUSE_CH8_: 0.00-60097.93', 'Healthy life expectancy (HALE) at birth (years)_: 50.77-56.91'})",frozenset({'Life expectancy at birth (years)_: 58.69-65.89'}),0.5,0.5517241379310345,0.4482758620689655,0.896551724137931,1.625,0.1724137931034483,4.333333333333334,0.7692307692307693
"frozenset({'Number of deaths | AGEGROUP_MONTHS1-59 | CHILDCAUSE_CH8_: 0.00-60097.93', 'Healthy life expectancy (HALE) at birth (years)_: 50.77-56.91'})",frozenset({'Life expectancy at birth (years)_: 58.69-65.89'}),0.5,0.5517241379310345,0.4482758620689655,0.896551724137931,1.625,0.1724137931034483,4.333333333333334,0.7692307692307693
