antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%) | AGEGROUP_YEARS18-PLUS_34.80-57.10', 'Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%) | AGEGROUP_YEARS18-PLUS_12.60-34.52'})",frozenset({'Life expectancy at birth (years)_70.51-77.01'}),0.02564102564102564,0.6282051282051282,0.02564102564102564,1.0,1.5918367346938775,0.009533201840894148,inf,0.3815789473684211
"frozenset({'Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%) | AGEGROUP_YEARS05-09_12.39-23.28', 'Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%) | AGEGROUP_YEARS05-19_1.54-11.87'})",frozenset({'Life expectancy at birth (years)_70.51-77.01'}),0.02564102564102564,0.6282051282051282,0.02564102564102564,1.0,1.5918367346938775,0.009533201840894148,inf,0.3815789473684211
"frozenset({'Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%) | AGEGROUP_YEARS05-19_11.87-22.21', 'Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%) | AGEGROUP_YEARS05-09_1.51-12.39'})",frozenset({'Life expectancy at birth (years)_77.01-83.51'}),0.01282051282051282,0.2692307692307692,0.01282051282051282,1.0,3.7142857142857144,0.009368836291913214,inf,0.7402597402597402
"frozenset({'Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%) | AGEGROUP_YEARS05-19_11.87-22.21', 'Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%) | AGEGROUP_YEARS18-PLUS_39.70-57.73'})",frozenset({'Life expectancy at birth (years)_70.51-77.01'}),0.038461538461538464,0.6282051282051282,0.038461538461538464,1.0,1.5918367346938775,0.014299802761341223,inf,0.38666666666666666
"frozenset({'Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%) | AGEGROUP_YEARS05-09_35.90-50.33', 'Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%) | AGEGROUP_YEARS18-PLUS_39.70-57.73'})",frozenset({'Life expectancy at birth (years)_70.51-77.01'}),0.01282051282051282,0.6282051282051282,0.01282051282051282,1.0,1.5918367346938775,0.004766600920447074,inf,0.3766233766233766
"frozenset({'Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%) | AGEGROUP_YEARS05-09_12.39-23.28', 'Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%) | AGEGROUP_YEARS18-PLUS_39.70-57.73'})",frozenset({'Life expectancy at birth (years)_70.51-77.01'}),0.02564102564102564,0.6282051282051282,0.02564102564102564,1.0,1.5918367346938775,0.009533201840894148,inf,0.3815789473684211
"frozenset({'Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%) | AGEGROUP_YEARS05-09_35.90-50.33', 'Infant mortality rate (probability of dying between birth and age 1 per 1000 live births) | AGEGROUP_MONTHS0-11_12.84-21.62'})",frozenset({'Life expectancy at birth (years)_70.51-77.01'}),0.05128205128205128,0.6282051282051282,0.05128205128205128,1.0,1.5918367346938775,0.019066403681788295,inf,0.3918918918918919
"frozenset({'Life expectancy at age 60 (years)_15.67-19.24', 'Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%) | AGEGROUP_YEARS05-09_35.90-50.33'})",frozenset({'Life expectancy at birth (years)_70.51-77.01'}),0.02564102564102564,0.6282051282051282,0.02564102564102564,1.0,1.5918367346938775,0.009533201840894148,inf,0.3815789473684211
"frozenset({'Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%) | AGEGROUP_YEARS05-09_35.90-50.33', 'Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)| AGEGROUP_YEARS18-PLUS_8.61-30.01'})",frozenset({'Life expectancy at birth (years)_70.51-77.01'}),0.02564102564102564,0.6282051282051282,0.02564102564102564,1.0,1.5918367346938775,0.009533201840894148,inf,0.3815789473684211
"frozenset({'Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%) | AGEGROUP_YEARS05-09_35.90-50.33', 'Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%) | AGEGROUP_YEARS18-PLUS_9.28-30.49'})",frozenset({'Life expectancy at birth (years)_70.51-77.01'}),0.02564102564102564,0.6282051282051282,0.02564102564102564,1.0,1.5918367346938775,0.009533201840894148,inf,0.3815789473684211
"frozenset({'Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%) | AGEGROUP_YEARS05-09_35.90-50.33', 'Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%) | AGEGROUP_YEARS05-19_1.54-11.87'})",frozenset({'Life expectancy at birth (years)_70.51-77.01'}),0.01282051282051282,0.6282051282051282,0.01282051282051282,1.0,1.5918367346938775,0.004766600920447074,inf,0.3766233766233766
"frozenset({'Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%) | AGEGROUP_YEARS18-PLUS_30.49-51.70', 'Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)| AGEGROUP_YEARS18-PLUS_51.42-72.83'})",frozenset({'Life expectancy at birth (years)_77.01-83.51'}),0.01282051282051282,0.2692307692307692,0.01282051282051282,1.0,3.7142857142857144,0.009368836291913214,inf,0.7402597402597402
"frozenset({'Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%) | AGEGROUP_YEARS18-PLUS_12.50-34.80', 'Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)| AGEGROUP_YEARS18-PLUS_51.42-72.83'})",frozenset({'Life expectancy at birth (years)_70.51-77.01'}),0.05128205128205128,0.6282051282051282,0.05128205128205128,1.0,1.5918367346938775,0.019066403681788295,inf,0.3918918918918919
"frozenset({'Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%) | AGEGROUP_YEARS18-PLUS_12.60-34.52', 'Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)| AGEGROUP_YEARS18-PLUS_51.42-72.83'})",frozenset({'Life expectancy at birth (years)_70.51-77.01'}),0.038461538461538464,0.6282051282051282,0.038461538461538464,1.0,1.5918367346938775,0.014299802761341223,inf,0.38666666666666666
"frozenset({'Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%) | AGEGROUP_YEARS18-PLUS_39.70-57.73', 'Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)| AGEGROUP_YEARS18-PLUS_51.42-72.83'})",frozenset({'Life expectancy at birth (years)_70.51-77.01'}),0.02564102564102564,0.6282051282051282,0.02564102564102564,1.0,1.5918367346938775,0.009533201840894148,inf,0.3815789473684211
"frozenset({'Adolescent mortality rate (per 1 000 age specific cohort) | AGEGROUP_YEARS15-19.1_2.67-4.47', 'Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)| AGEGROUP_YEARS18-PLUS_51.42-72.83'})",frozenset({'Life expectancy at birth (years)_70.51-77.01'}),0.05128205128205128,0.6282051282051282,0.05128205128205128,1.0,1.5918367346938775,0.019066403681788295,inf,0.3918918918918919
