antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'Healthy life expectancy (HALE) at birth (years)_50.42-57.74', 'Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%) | AGEGROUP_YEARS10-19_4.87-11.61'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.2923076923076923,0.5846153846153846,0.2923076923076923,1.0,1.7105263157894737,0.12142011834319527,inf,0.5869565217391305
"frozenset({'Healthy life expectancy (HALE) at birth (years)_50.42-57.74', 'Adolescent mortality rate (per 1 000 age specific cohort) | AGEGROUP_YEARS10-19.1_11.03-18.71'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.3076923076923077,0.5846153846153846,0.3076923076923077,1.0,1.7105263157894737,0.12781065088757396,inf,0.6
"frozenset({'Healthy life expectancy (HALE) at birth (years)_50.42-57.74', 'Adolescent mortality rate (per 1 000 age specific cohort) | AGEGROUP_YEARS10-14.1_1.09-4.72'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.1076923076923077,0.5846153846153846,0.1076923076923077,1.0,1.7105263157894737,0.04473372781065088,inf,0.46551724137931033
"frozenset({'Healthy life expectancy (HALE) at birth (years)_50.42-57.74', 'Adolescent mortality rate (per 1 000 age specific cohort) | AGEGROUP_YEARS10-19_10.91-18.76'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.2923076923076923,0.5846153846153846,0.2923076923076923,1.0,1.7105263157894737,0.12142011834319527,inf,0.5869565217391305
"frozenset({'Adolescent mortality rate (per 1 000 age specific cohort) | AGEGROUP_YEARS15-19_7.14-12.26', 'Healthy life expectancy (HALE) at birth (years)_50.42-57.74'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.3230769230769231,0.5846153846153846,0.3230769230769231,1.0,1.7105263157894737,0.13420118343195267,inf,0.6136363636363636
"frozenset({'Healthy life expectancy (HALE) at birth (years)_50.42-57.74', 'Adolescent mortality rate (per 1 000 age specific cohort) | AGEGROUP_YEARS10-14_0.93-4.60'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.1076923076923077,0.5846153846153846,0.1076923076923077,1.0,1.7105263157894737,0.04473372781065088,inf,0.46551724137931033
"frozenset({'Adolescent mortality rate (per 1 000 age specific cohort) | AGEGROUP_YEARS15-19.1_7.16-12.20', 'Healthy life expectancy (HALE) at birth (years)_50.42-57.74'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.3076923076923077,0.5846153846153846,0.3076923076923077,1.0,1.7105263157894737,0.12781065088757396,inf,0.6
"frozenset({'Healthy life expectancy (HALE) at birth (years)_50.42-57.74', 'Infant mortality rate (probability of dying between birth and age 1 per 1000 live births) | AGEGROUP_YEARSUNDER5_45.81-84.26'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.27692307692307694,0.5846153846153846,0.27692307692307694,1.0,1.7105263157894737,0.11502958579881656,inf,0.5744680851063829
"frozenset({'Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%) | AGEGROUP_YEARS18-PLUS_24.28-42.05', 'Healthy life expectancy (HALE) at birth (years)_50.42-57.74'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.18461538461538463,0.5846153846153846,0.18461538461538463,1.0,1.7105263157894737,0.07668639053254438,inf,0.5094339622641509
"frozenset({'Healthy life expectancy (HALE) at birth (years)_50.42-57.74', 'Estimate of current tobacco use prevalence (%) (age-standardized rate)_27.57-48.73'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.15384615384615385,0.5846153846153846,0.15384615384615385,1.0,1.7105263157894737,0.06390532544378698,inf,0.4909090909090909
"frozenset({'Estimate of current tobacco use prevalence (%) (age-standardized rate)_27.57-48.73', 'Adolescent mortality rate (per 1 000 age specific cohort) | AGEGROUP_YEARS10-14.1_4.72-8.34'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.07692307692307693,0.5846153846153846,0.07692307692307693,1.0,1.7105263157894737,0.03195266272189349,inf,0.44999999999999996
"frozenset({'Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years) | AGEGROUP_YEARS05-14_11.89-21.87', 'Estimate of current tobacco use prevalence (%) (age-standardized rate)_27.57-48.73'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.06153846153846154,0.5846153846153846,0.06153846153846154,1.0,1.7105263157894737,0.02556213017751479,inf,0.44262295081967207
"frozenset({'Healthy life expectancy (HALE) at birth (years)_50.42-57.74', 'Estimate of current tobacco smoking prevalence (%) (age-standardized rate)_22.87-41.03'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.18461538461538463,0.5846153846153846,0.18461538461538463,1.0,1.7105263157894737,0.07668639053254438,inf,0.5094339622641509
"frozenset({'Estimate of current tobacco use prevalence (%) (age-standardized rate)_6.40-27.57', 'Estimate of current tobacco smoking prevalence (%) (age-standardized rate)_22.87-41.03'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.03076923076923077,0.5846153846153846,0.03076923076923077,1.0,1.7105263157894737,0.012781065088757395,inf,0.4285714285714285
"frozenset({'Adolescent mortality rate (per 1 000 age specific cohort) | AGEGROUP_YEARS10-14.1_4.72-8.34', 'Estimate of current tobacco smoking prevalence (%) (age-standardized rate)_22.87-41.03'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.09230769230769231,0.5846153846153846,0.09230769230769231,1.0,1.7105263157894737,0.03834319526627219,inf,0.45762711864406774
"frozenset({'Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years) | AGEGROUP_YEARS05-14_11.89-21.87', 'Estimate of current tobacco smoking prevalence (%) (age-standardized rate)_22.87-41.03'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.07692307692307693,0.5846153846153846,0.07692307692307693,1.0,1.7105263157894737,0.03195266272189349,inf,0.44999999999999996
"frozenset({'Mortality rate among children ages 5 to 9 years (per 1000 children aged 5) | AGEGROUP_YEARS05-09_7.26-13.69', 'Estimate of current tobacco smoking prevalence (%) (age-standardized rate)_22.87-41.03'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.06153846153846154,0.5846153846153846,0.06153846153846154,1.0,1.7105263157894737,0.02556213017751479,inf,0.44262295081967207
"frozenset({'Adolescent mortality rate (per 1 000 age specific cohort) | AGEGROUP_YEARS10-14_4.60-8.27', 'Estimate of current tobacco smoking prevalence (%) (age-standardized rate)_22.87-41.03'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.06153846153846154,0.5846153846153846,0.06153846153846154,1.0,1.7105263157894737,0.02556213017751479,inf,0.44262295081967207
"frozenset({'Healthy life expectancy (HALE) at birth (years)_50.42-57.74', 'Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%) | AGEGROUP_YEARS18-PLUS_7.95-14.93'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.13846153846153847,0.5846153846153846,0.13846153846153847,1.0,1.7105263157894737,0.05751479289940828,inf,0.48214285714285704
"frozenset({'Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%) | AGEGROUP_YEARS18-PLUS_7.95-14.93', 'Healthy life expectancy (HALE) at birth (years)_57.74-65.06'})",frozenset({'Life expectancy at birth (years)_65.68-74.16'}),0.09230769230769231,0.3230769230769231,0.09230769230769231,1.0,3.095238095238095,0.062485207100591716,inf,0.7457627118644068
"frozenset({'Healthy life expectancy (HALE) at birth (years)_50.42-57.74', 'Estimate of current tobacco use prevalence (%)_27.07-48.43'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.13846153846153847,0.5846153846153846,0.13846153846153847,1.0,1.7105263157894737,0.05751479289940828,inf,0.48214285714285704
"frozenset({'Mortality rate among children ages 5 to 9 years (per 1000 children aged 5) | AGEGROUP_YEARS05-09_7.26-13.69', 'Estimate of current tobacco use prevalence (%)_27.07-48.43'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.046153846153846156,0.5846153846153846,0.046153846153846156,1.0,1.7105263157894737,0.019171597633136094,inf,0.4354838709677419
"frozenset({'Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years) | AGEGROUP_YEARS05-14_11.89-21.87', 'Estimate of current tobacco use prevalence (%)_27.07-48.43'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.046153846153846156,0.5846153846153846,0.046153846153846156,1.0,1.7105263157894737,0.019171597633136094,inf,0.4354838709677419
"frozenset({'Healthy life expectancy (HALE) at birth (years)_57.74-65.06', 'Estimate of current tobacco use prevalence (%)_27.07-48.43'})",frozenset({'Life expectancy at birth (years)_65.68-74.16'}),0.1076923076923077,0.3230769230769231,0.1076923076923077,1.0,3.095238095238095,0.07289940828402366,inf,0.7586206896551724
"frozenset({'Estimate of current tobacco use prevalence (%) (age-standardized rate)_6.40-27.57', 'Estimate of current tobacco use prevalence (%)_27.07-48.43'})",frozenset({'Life expectancy at birth (years)_65.68-74.16'}),0.015384615384615385,0.3230769230769231,0.015384615384615385,1.0,3.095238095238095,0.010414201183431953,inf,0.6875
"frozenset({'Healthy life expectancy (HALE) at birth (years)_50.42-57.74', 'Estimate of current tobacco smoking prevalence (%)_21.73-39.27'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.16923076923076924,0.5846153846153846,0.16923076923076924,1.0,1.7105263157894737,0.07029585798816568,inf,0.5
"frozenset({'Estimate of current tobacco smoking prevalence (%)_21.73-39.27', 'Adolescent mortality rate (per 1 000 age specific cohort) | AGEGROUP_YEARS10-14.1_4.72-8.34'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.09230769230769231,0.5846153846153846,0.09230769230769231,1.0,1.7105263157894737,0.03834319526627219,inf,0.45762711864406774
"frozenset({'Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years) | AGEGROUP_YEARS05-14_11.89-21.87', 'Estimate of current tobacco smoking prevalence (%)_21.73-39.27'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.07692307692307693,0.5846153846153846,0.07692307692307693,1.0,1.7105263157894737,0.03195266272189349,inf,0.44999999999999996
"frozenset({'Estimate of current tobacco smoking prevalence (%)_21.73-39.27', 'Mortality rate among children ages 5 to 9 years (per 1000 children aged 5) | AGEGROUP_YEARS05-09_7.26-13.69'})",frozenset({'Life expectancy at birth (years)_57.21-65.68'}),0.06153846153846154,0.5846153846153846,0.06153846153846154,1.0,1.7105263157894737,0.02556213017751479,inf,0.44262295081967207
